starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 13 18:27:24 2018	1520987244	127	13262	13389	13261
Tue Mar 13 18:27:24 2018	1520987244	140	13316	13456	0
Tue Mar 13 18:27:24 2018	1520987244	127	13393	13520	13392
Tue Mar 13 18:27:24 2018	1520987244	103	13418	13521	13276
Tue Mar 13 18:27:24 2018	1520987244	103	13517	13620	13376
Tue Mar 13 18:27:24 2018	1520987244	112	13618	13731	13376
Tue Mar 13 18:27:24 2018	1520987244	137	13627	13764	13626
Tue Mar 13 18:27:24 2018	1520987244	100	13898	13998	13755
Tue Mar 13 18:27:24 2018	1520987244	113	14212	14325	14065
Tue Mar 13 18:27:24 2018	1520987244	102	14507	14608	14431
Tue Mar 13 18:27:24 2018	1520987244	145	14519	14663	0
Tue Mar 13 18:27:24 2018	1520987244	131	14730	14861	14602
Tue Mar 13 18:27:24 2018	1520987244	104	14776	14880	14631
Tue Mar 13 18:27:24 2018	1520987244	129	14752	14881	14751
Tue Mar 13 18:27:24 2018	1520987244	127	14769	14896	14727
Tue Mar 13 18:27:24 2018	1520987244	103	14834	14937	14724
Tue Mar 13 18:27:24 2018	1520987244	196	14754	14950	14753
Tue Mar 13 18:27:24 2018	1520987244	145	14821	14966	14820
Tue Mar 13 18:27:24 2018	1520987244	106	14888	14994	14734
Tue Mar 13 18:27:24 2018	1520987244	108	14893	15002	14739
Tue Mar 13 18:27:24 2018	1520987244	192	14824	15016	14824
Tue Mar 13 18:27:24 2018	1520987244	145	14913	15058	14913
Tue Mar 13 18:27:24 2018	1520987244	112	14952	15064	14877
Tue Mar 13 18:27:24 2018	1520987244	155	14943	15097	0
Tue Mar 13 18:27:24 2018	1520987244	103	15003	15106	14858
Tue Mar 13 18:27:24 2018	1520987244	104	15006	15110	0
Tue Mar 13 18:27:24 2018	1520987244	196	14966	15163	0
Tue Mar 13 18:27:24 2018	1520987244	145	15331	15476	15331
Tue Mar 13 18:27:24 2018	1520987244	145	15336	15481	15335
Tue Mar 13 18:27:24 2018	1520987244	110	15407	15517	15232
